1,5/7/2020,1:45 PM,5,49,71,11
2,8/2/2023,12:00 AM,6,70,3,4
3,10/27/2022,6:30 AM,7,1,35,1
4,11/8/2021,8:20 PM,5,25,57,7
5,5/20/2021,1:45 PM,7,90,91,2
6,11/20/2023,8:20 PM,5,80,80,4
7,12/3/2022,12:00 AM,2,97,50,12
8,8/7/2022,8:20 PM,8,63,26,15
9,2/2/2020,8:20 PM,11,76,88,6
10,9/23/2022,8:20 PM,5,62,68,14
11,10/5/2022,1:45 PM,6,9,11,2
12,3/23/2021,6:30 AM,3,39,86,9
13,12/16/2023,8:20 PM,7,99,19,9
14,9/19/2022,12:00 AM,15,14,94,12
15,7/16/2019,6:30 AM,15,54,9,2
16,12/20/2021,6:30 AM,8,16,78,7
17,4/24/2021,12:00 AM,13,93,88,14
18,8/20/2021,12:00 AM,12,54,76,3
19,7/1/2022,8:20 PM,9,25,30,15
20,4/23/2022,8:20 PM,11,18,63,7
21,9/14/2022,1:45 PM,3,82,4,6
22,7/24/2020,6:30 AM,10,29,78,9
23,12/5/2023,1:45 PM,15,68,45,10
24,8/11/2021,1:45 PM,6,42,64,5
25,7/28/2020,8:20 PM,8,74,85,12
26,8/11/2019,8:20 PM,1,26,16,4
27,1/17/2022,8:20 PM,13,80,19,7
28,2/24/2022,12:00 AM,8,87,86,9
29,6/16/2023,6:30 AM,10,24,78,3
30,10/5/2022,8:20 PM,8,65,69,11
31,9/12/2022,6:30 AM,11,68,73,15
32,5/16/2021,1:45 PM,15,59,54,11
33,9/2/2019,8:20 PM,2,83,25,15
34,8/20/2022,12:00 AM,12,16,53,7
35,10/17/2021,1:45 PM,8,84,9,4
36,5/5/2020,6:30 AM,6,70,46,5
37,7/22/2022,12:00 AM,15,63,71,4
38,8/12/2021,8:20 PM,12,56,30,8
39,6/3/2023,6:30 AM,1,62,45,2
40,2/8/2019,6:30 AM,7,58,72,8
41,5/17/2019,8:20 PM,6,35,63,14
42,2/9/2019,8:20 PM,1,69,58,1
43,1/14/2023,1:45 PM,2,98,43,15
44,1/25/2021,6:30 AM,13,89,63,8
45,7/11/2020,1:45 PM,14,88,85,6
46,2/9/2022,1:45 PM,2,76,28,13
47,6/5/2021,1:45 PM,11,36,82,15
